"Question_no","Ans","Correct_Marks","Wrong_Marks","Subject"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
"","A","1","0","nn"
