"Question_no","Ans","Correct_Marks","Wrong_Marks","Subject"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
"","A","1","-2","Chemistry"
