"Question_no","Ans","Correct_Marks","Wrong_Marks","Subject"
"","D","1","0","idk"
"","D","1","0","idk"
"","D","1","0","idk"
"","C","1","0","idk"
"","A","1","0","idk"
"","D","1","0","idk"
"","C","1","0","idk"
"","A","1","0","idk"
"","B","1","0","idk"
"","A","1","0","idk"
"","C","1","0","idk"
"","C","1","0","idk"
"","D","1","0","idk"
"","C","1","0","idk"
"","B","1","0","idk"
"","A","1","0","idk"
"","B","1","0","idk"
"","C","1","0","idk"
"","B","1","0","idk"
"","A","1","0","idk"
"","D","1","0","idk"
"","B","1","0","idk"
"","D","1","0","idk"
"","A","1","0","idk"
"","D","1","0","idk"
"","A","1","0","idk"
"","B","1","0","idk"
"","C","1","0","idk"
"","D","1","0","idk"
"","D","1","0","idk"
"","C","1","0","idk"
"","A","1","0","idk"
"","B","1","0","idk"
"","B","1","0","idk"
"","B","1","0","idk"
"","B","1","0","idk"
"","D","1","0","idk"
"","A","1","0","idk"
"","B","1","0","idk"
"","A","1","0","idk"
"","A","1","0","idk"
"","A","1","0","idk"
"","D","1","0","idk"
"","A","1","0","idk"
"","C","1","0","idk"
"","A","1","0","idk"
"","A","1","0","idk"
"","C","1","0","idk"
"","D","1","0","idk"
"","A","1","0","idk"
"","B","1","0","idk"
"","A","1","0","idk"
"","A","1","0","idk"
"","B","1","0","idk"
"","D","1","0","idk"
"","B","1","0","idk"
"","D","1","0","idk"
"","C","1","0","idk"
"","A","1","0","idk"
"","C","1","0","idk"
"","C","1","0","idk"
"","A","1","0","idk"
"","A","1","0","idk"
"","C","1","0","idk"
"","A","1","0","idk"
"","C","1","0","idk"
"","D","1","0","idk"
"","B","1","0","idk"
"","C","1","0","idk"
"","D","1","0","idk"
"","C","1","0","idk"
"","C","1","0","idk"
"","B","1","0","idk"
"","D","1","0","idk"
"","A","1","0","idk"
"","D","1","0","idk"
"","C","1","0","idk"
"","B","1","0","idk"
"","A","1","0","idk"
"","A","1","0","idk"
"","B","1","0","idk"
"","B","1","0","idk"
"","B","1","0","idk"
"","A","1","0","idk"
"","C","1","0","idk"
"","A","1","0","idk"
"","C","1","0","idk"
"","A","1","0","idk"
"","D","1","0","idk"
"","C","1","0","idk"
"","B","1","0","idk"
"","B","1","0","idk"
"","B","1","0","idk"
"","C","1","0","idk"
"","B","1","0","idk"
"","D","1","0","idk"
"","B","1","0","idk"
"","D","1","0","idk"
"","A","1","0","idk"
"","C","1","0","idk"
