"Question_no","Ans","Correct_Marks","Wrong_Marks","Subject"
"","D","1","0","mmm"
"","D","1","0","mmm"
"","D","1","0","mmm"
"","C","1","0","mmm"
"","A","1","0","mmm"
"","D","1","0","mmm"
"","C","1","0","mmm"
"","A","1","0","mmm"
"","B","1","0","mmm"
"","A","1","0","mmm"
"","C","1","0","mmm"
"","C","1","0","mmm"
"","D","1","0","mmm"
"","C","1","0","mmm"
"","B","1","0","mmm"
"","A","1","0","mmm"
"","B","1","0","mmm"
"","C","1","0","mmm"
"","B","1","0","mmm"
"","A","1","0","mmm"
"","D","1","0","mmm"
"","B","1","0","mmm"
"","D","1","0","mmm"
"","A","1","0","mmm"
"","D","1","0","mmm"
"","A","1","0","mmm"
"","B","1","0","mmm"
"","C","1","0","mmm"
"","D","1","0","mmm"
"","D","1","0","mmm"
"","C","1","0","mmm"
"","A","1","0","mmm"
"","B","1","0","mmm"
"","B","1","0","mmm"
"","B","1","0","mmm"
"","B","1","0","mmm"
"","D","1","0","mmm"
"","A","1","0","mmm"
"","B","1","0","mmm"
"","A","1","0","mmm"
"","A","1","0","mmm"
"","A","1","0","mmm"
"","D","1","0","mmm"
"","A","1","0","mmm"
"","C","1","0","mmm"
"","A","1","0","mmm"
"","A","1","0","mmm"
"","C","1","0","mmm"
"","D","1","0","mmm"
"","A","1","0","mmm"
"","B","1","0","mmm"
"","A","1","0","mmm"
"","A","1","0","mmm"
"","B","1","0","mmm"
"","D","1","0","mmm"
"","B","1","0","mmm"
"","D","1","0","mmm"
"","C","1","0","mmm"
"","A","1","0","mmm"
"","C","1","0","mmm"
"","C","1","0","mmm"
"","A","1","0","mmm"
"","A","1","0","mmm"
"","C","1","0","mmm"
"","A","1","0","mmm"
"","C","1","0","mmm"
"","D","1","0","mmm"
"","B","1","0","mmm"
"","C","1","0","mmm"
"","D","1","0","mmm"
"","C","1","0","mmm"
"","C","1","0","mmm"
"","B","1","0","mmm"
"","D","1","0","mmm"
"","A","1","0","mmm"
"","D","1","0","mmm"
"","C","1","0","mmm"
"","B","1","0","mmm"
"","A","1","0","mmm"
"","A","1","0","mmm"
"","B","1","0","mmm"
"","B","1","0","mmm"
"","B","1","0","mmm"
"","A","1","0","mmm"
"","C","1","0","mmm"
"","A","1","0","mmm"
"","C","1","0","mmm"
"","A","1","0","mmm"
"","D","1","0","mmm"
"","C","1","0","mmm"
"","B","1","0","mmm"
"","B","1","0","mmm"
"","B","1","0","mmm"
"","C","1","0","mmm"
"","B","1","0","mmm"
"","D","1","0","mmm"
"","B","1","0","mmm"
"","D","1","0","mmm"
"","A","1","0","mmm"
"","C","1","0","mmm"
