"Question no",PossibleAns,Ans,"correct marks","wrong marks",subject,Remove
,4,A,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,A,7,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,C,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
,4,A,6,'-2,Physics,Remove
