"Question no",PossibleAns,Ans,"correct marks","wrong marks",subject,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
,4,A,1,2,math,Remove
