Question_no,Ans,Correct_Marks,Wrong_Marks,Subject
1,A,1,0,chemistry
2,A,1,0,chemistry
3,A,1,0,chemistry
4,A,1,0,chemistry
5,A,1,0,chemistry
6,A,1,0,chemistry
7,A,1,0,chemistry
8,A,1,0,chemistry
9,A,1,0,chemistry
10,A,1,0,chemistry
11,A,1,0,chemistry
12,A,1,0,chemistry
13,A,1,0,chemistry
14,A,1,0,chemistry
15,A,1,0,chemistry
16,A,1,0,chemistry
17,A,1,0,chemistry
18,A,1,0,chemistry
19,A,1,0,chemistry
20,A,1,0,chemistry
21,A,1,0,chemistry
22,A,1,0,chemistry
23,A,1,0,chemistry
24,A,1,0,chemistry
25,A,1,0,chemistry
26,A,1,0,chemistry
27,A,1,0,chemistry
28,A,1,0,chemistry
29,A,1,0,chemistry
30,A,1,0,chemistry
31,A,1,0,chemistry
32,A,1,0,chemistry
33,A,1,0,chemistry
34,A,1,0,chemistry
35,A,1,0,chemistry
36,A,1,0,chemistry
37,A,1,0,chemistry
38,A,1,0,chemistry
39,A,1,0,chemistry
40,A,1,0,chemistry
41,A,1,0,chemistry
42,A,1,0,chemistry
43,A,1,0,chemistry
44,A,1,0,chemistry
45,A,1,0,chemistry
46,A,1,0,chemistry
47,A,1,0,chemistry
48,A,1,0,chemistry
49,A,1,0,chemistry
50,A,1,0,chemistry
51,A,1,0,chemistry
52,A,1,0,chemistry
53,A,1,0,chemistry
54,A,1,0,chemistry
55,A,1,0,chemistry
56,A,1,0,chemistry
57,A,1,0,chemistry
58,A,1,0,chemistry
59,A,1,0,chemistry
60,A,1,0,chemistry
61,A,1,0,chemistry
62,A,1,0,chemistry
63,A,1,0,chemistry
64,A,1,0,chemistry
65,A,1,0,chemistry
66,A,1,0,chemistry
67,A,1,0,chemistry
68,A,1,0,chemistry
69,A,1,0,chemistry
70,A,1,0,chemistry
71,A,1,0,chemistry
72,A,1,0,chemistry
73,A,1,0,chemistry
74,A,1,0,chemistry
75,A,1,0,chemistry
76,A,1,0,chemistry
77,A,1,0,chemistry
78,A,1,0,chemistry
79,A,1,0,chemistry
80,A,1,0,chemistry
81,A,1,0,chemistry
82,A,1,0,chemistry
83,A,1,0,chemistry
84,A,1,0,chemistry
85,A,1,0,chemistry
86,A,1,0,chemistry
87,A,1,0,chemistry
88,A,1,0,chemistry
89,A,1,0,chemistry
90,A,1,0,chemistry
91,A,1,0,chemistry
92,A,1,0,chemistry
93,A,1,0,chemistry
94,A,1,0,chemistry
95,A,1,0,chemistry
96,A,1,0,chemistry
97,A,1,0,chemistry
98,A,1,0,chemistry
99,A,1,0,chemistry
100,A,1,0,chemistry
